date,year,week,day_of_week,v_name,h_name,day_night,park_id,temp,precip,capacity,prev_year_wins,made_playoffs,won_division,InstagramFollowers,CityPopulation,Payroll,PayrollStd,attendance
2005-04-16,2005,2,Sat,TB,BOS,1,Fenway Park,51.7,0.0,37731.0,98,1,0,2200000,5025517,121311945,1.667558937,35106.0
2005-04-16,2005,2,Sat,SEA,CHW,0,US Cellular Field,62.2,0.0,40615.0,83,0,0,664000,9408576,75228000,1.034087152,25931.0
2005-04-16,2005,2,Sat,MIN,CLE,0,Progressive Field,65.3,0.0,43000.0,80,0,0,726000,2171877,41830400,0.575002382,18699.0
2005-04-16,2005,2,Sat,DET,KC,0,Kauffman Stadium,75.4,0.0,37903.0,58,0,0,1000000,2253579,36881000,0.506967728,22881.0
2005-04-16,2005,2,Sat,LAA,OAK,0,Coliseum,68.4,0.0,47170.0,91,0,0,530000,2463127,55869262,0.767981151,25280.0
2005-04-16,2005,2,Sat,TOR,TEX,1,Globe Life Field,77.5,0.0,48114.0,89,0,0,1000000,8344032,55307258,0.760255821,40499.0
2005-04-16,2005,2,Sat,HOU,CIN,0,Great American Ball Park,71.2,0.0,42319.0,76,0,0,761000,2302815,59658275,0.820065078,26926.0
2005-04-16,2005,2,Sat,SF,COL,1,Coors Field,66.4,0.0,50144.0,68,0,0,552000,3052498,47789000,0.65690954,23439.0
2005-04-16,2005,2,Sat,SD,LAD,1,Dodger Stadium,81.9,0.0,56000.0,93,1,1,4800000,12927614,81029500,1.113834807,54704.0
2005-04-16,2005,2,Sat,STL,MIL,0,Miller Park,,,41900.0,67,0,0,670000,1574452,40234833,0.553069653,30732.0
2005-04-16,2005,2,Sat,MIA,NYM,0,Shea Stadium,55.9,0.0,57333.0,71,0,0,1700000,19940274,104770139,1.440174598,55351.0
2005-04-16,2005,2,Sat,ATL,PHI,0,Citizens Bank Park,59.2,0.0,43651.0,86,0,0,1300000,6330422,95337908,1.310518766,36820.0
2005-04-16,2005,2,Sat,CHC,PIT,1,PNC Park,66.4,0.0,38362.0,72,0,0,837000,2429917,38138000,0.524246501,34783.0
2005-04-16,2005,2,Sat,ARI,WSH,1,RFK Stadium,60.1,0.0,45596.0,67,0,0,711000,6436489,48581500,0.667803278,34943.0
2005-04-17,2005,2,Sun,NYY,BAL,0,Camden Yards,71.0,0.0,45971.0,78,0,0,746000,2859024,74570539,1.025049666,47883.0
2005-04-17,2005,2,Sun,TB,BOS,0,Fenway Park,69.3,0.0,37731.0,98,1,0,2200000,5025517,121311945,1.667558937,35232.0
2005-04-17,2005,2,Sun,SEA,CHW,0,US Cellular Field,66.8,0.035,40615.0,83,0,0,664000,9408576,75228000,1.034087152,23324.0
2005-04-17,2005,2,Sun,MIN,CLE,0,Progressive Field,65.7,0.004,43000.0,80,0,0,726000,2171877,41830400,0.575002382,19021.0
2005-04-17,2005,2,Sun,DET,KC,0,Kauffman Stadium,76.8,0.0,37903.0,58,0,0,1000000,2253579,36881000,0.506967728,14904.0
2005-04-17,2005,2,Sun,LAA,OAK,0,Coliseum,64.9,0.0,47170.0,91,0,0,530000,2463127,55869262,0.767981151,36291.0
2005-04-17,2005,2,Sun,TOR,TEX,0,Globe Life Field,78.2,0.0,48114.0,89,0,0,1000000,8344032,55307258,0.760255821,31310.0
2005-04-17,2005,2,Sun,HOU,CIN,0,Great American Ball Park,76.0,0.0,42319.0,76,0,0,761000,2302815,59658275,0.820065078,25762.0
2005-04-17,2005,2,Sun,SF,COL,0,Coors Field,68.5,0.024,50144.0,68,0,0,552000,3052498,47789000,0.65690954,27107.0
2005-04-17,2005,2,Sun,SD,LAD,0,Dodger Stadium,79.4,0.0,56000.0,93,1,1,4800000,12927614,81029500,1.113834807,53402.0
2005-04-17,2005,2,Sun,STL,MIL,0,Miller Park,,,41900.0,67,0,0,670000,1574452,40234833,0.553069653,21144.0
2005-04-17,2005,2,Sun,MIA,NYM,0,Shea Stadium,71.2,0.0,57333.0,71,0,0,1700000,19940274,104770139,1.440174598,55266.0
2005-04-17,2005,2,Sun,ATL,PHI,1,Citizens Bank Park,73.2,0.0,43651.0,86,0,0,1300000,6330422,95337908,1.310518766,32008.0
2005-04-17,2005,2,Sun,CHC,PIT,0,PNC Park,71.3,0.0,38362.0,72,0,0,837000,2429917,38138000,0.524246501,20416.0
2005-04-17,2005,2,Sun,ARI,WSH,0,RFK Stadium,71.9,0.0,45596.0,67,0,0,711000,6436489,48581500,0.667803278,35463.0
2005-04-18,2005,2,Mon,SEA,LAA,1,Angel Stadium,63.8,0.0,45050.0,92,1,1,1200000,12927614,95017822,1.306118851,39638.0
2005-04-18,2005,2,Mon,DET,BAL,1,Camden Yards,73.6,0.0,45971.0,78,0,0,746000,2859024,74570539,1.025049666,16301.0
2005-04-18,2005,2,Mon,TOR,BOS,0,Fenway Park,65.6,0.0,37731.0,98,1,0,2200000,5025517,121311945,1.667558937,35243.0
2005-04-18,2005,2,Mon,MIN,CHW,1,US Cellular Field,70.0,0.0,40615.0,83,0,0,664000,9408576,75228000,1.034087152,27018.0
2005-04-18,2005,2,Mon,CLE,KC,1,Kauffman Stadium,75.1,0.031,37903.0,58,0,0,1000000,2253579,36881000,0.506967728,11115.0
2005-04-18,2005,2,Mon,TB,NYY,1,Old Yankee Stadium,72.2,0.0,56937.0,101,1,1,3900000,19940274,205938439,2.83083817,35282.0
2005-04-18,2005,3,Mon,OAK,TEX,1,Globe Life Field,75.6,0.012,48114.0,89,0,0,1000000,8344032,55307258,0.760255821,20939.0
2005-04-18,2005,2,Mon,CHC,CIN,1,Great American Ball Park,77.8,0.0,42319.0,76,0,0,761000,2302815,59658275,0.820065078,25349.0
