latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.785587,-122.40964,11.0,0,GMT,GMT
,,,,,
time,temperature_2m_max (°F),precipitation_sum (inch),,,
2006-08-24,69.3,0.000,,,
2006-08-25,67.7,0.000,,,
2006-08-26,70.8,0.000,,,
2006-08-27,70.6,0.000,,,
2006-08-28,67.5,0.000,,,
2006-08-29,64.8,0.000,,,
2006-08-30,76.6,0.000,,,
2006-08-31,81.4,0.000,,,
2006-09-01,72.9,0.000,,,
2006-09-02,67.4,0.000,,,
2006-09-03,64.6,0.000,,,
2006-09-04,68.4,0.000,,,
2006-09-05,72.1,0.000,,,
2006-09-06,70.1,0.000,,,
2006-09-07,71.0,0.000,,,
2006-09-08,67.2,0.000,,,
2006-09-09,64.9,0.000,,,
2006-09-10,71.6,0.000,,,
2006-09-11,78.1,0.000,,,
2006-09-12,81.0,0.000,,,
2006-09-13,76.2,0.000,,,
2006-09-14,65.2,0.000,,,
2006-09-15,64.8,0.000,,,
2006-09-16,72.4,0.000,,,
2006-09-17,77.8,0.000,,,
2006-09-18,75.4,0.000,,,
2006-09-19,72.2,0.000,,,
2006-09-20,76.8,0.000,,,
2006-09-21,76.9,0.000,,,
2006-09-22,78.2,0.000,,,
2006-09-23,78.2,0.000,,,
2006-09-24,76.9,0.000,,,
2006-09-25,83.1,0.000,,,
2006-09-26,81.7,0.000,,,
2006-09-27,67.1,0.000,,,
2006-09-28,65.1,0.000,,,
2006-09-29,63.3,0.000,,,
2006-09-30,62.6,0.000,,,
2006-10-01,62.3,0.000,,,
2006-10-02,64.3,0.000,,,
2006-10-03,63.7,0.000,,,
2006-10-04,63.3,0.028,,,
2006-10-05,62.3,0.146,,,
2006-10-06,62.0,0.000,,,
2006-10-07,67.5,0.000,,,
2006-10-08,73.1,0.000,,,
2006-10-09,72.3,0.000,,,
2006-10-10,67.0,0.000,,,
2006-10-11,70.8,0.000,,,
2006-10-12,68.4,0.000,,,
2006-10-13,64.1,0.000,,,
2006-10-14,61.6,0.000,,,
2006-10-15,58.9,0.000,,,
2006-10-16,65.2,0.000,,,
2006-10-17,69.5,0.000,,,
2006-10-18,71.5,0.000,,,
2006-10-19,73.2,0.000,,,
2006-10-20,78.0,0.000,,,
2006-10-21,80.4,0.000,,,
2006-10-22,78.7,0.000,,,
2006-10-23,75.3,0.000,,,
2006-10-24,70.6,0.000,,,
2006-10-25,75.1,0.000,,,
2006-10-26,75.9,0.000,,,
2006-10-27,78.2,0.000,,,
2006-10-28,77.4,0.000,,,
2006-10-29,74.2,0.000,,,
2006-10-30,57.1,0.000,,,
2006-10-31,57.9,0.000,,,
2006-11-01,64.3,0.067,,,
2006-11-02,64.4,0.496,,,
2006-11-03,63.7,0.016,,,
2006-11-04,64.9,0.000,,,
2006-11-05,66.1,0.000,,,
2006-11-06,69.8,0.000,,,
2006-11-07,67.0,0.000,,,
2006-11-08,63.8,0.008,,,
2006-11-09,63.2,0.000,,,
2006-11-10,61.9,0.000,,,
2006-11-11,59.1,0.370,,,
2006-11-12,58.7,0.000,,,
2006-11-13,58.7,0.650,,,
2006-11-14,61.4,0.193,,,
2006-11-15,61.9,0.000,,,
2006-11-16,62.0,0.035,,,
2006-11-17,61.9,0.000,,,
2006-11-18,65.5,0.000,,,
2006-11-19,64.6,0.000,,,
2006-11-20,61.8,0.000,,,
2006-11-21,61.8,0.016,,,
2006-11-22,59.8,0.000,,,
2006-11-23,60.0,0.020,,,
2006-11-24,58.9,0.000,,,
2006-11-25,59.2,0.000,,,
2006-11-26,56.2,0.343,,,
2006-11-27,53.3,0.031,,,
2006-11-28,53.4,0.000,,,
2006-11-29,55.7,0.000,,,
2006-11-30,55.2,0.000,,,
2006-12-01,58.3,0.000,,,
2006-12-02,60.6,0.000,,,
2006-12-03,60.3,0.000,,,
2006-12-04,61.7,0.000,,,
2006-12-05,61.9,0.000,,,
2006-12-06,62.7,0.000,,,
2006-12-07,64.2,0.000,,,
2006-12-08,62.9,0.134,,,
2006-12-09,58.4,0.429,,,
2006-12-10,57.6,0.646,,,
2006-12-11,56.8,0.028,,,
2006-12-12,58.0,0.740,,,
2006-12-13,58.1,0.012,,,
2006-12-14,58.5,0.059,,,
2006-12-15,57.4,0.102,,,
2006-12-16,54.3,0.000,,,
2006-12-17,50.8,0.000,,,
2006-12-18,53.8,0.000,,,
2006-12-19,53.0,0.000,,,
2006-12-20,50.8,0.000,,,
2006-12-21,51.8,0.724,,,
2006-12-22,53.5,0.173,,,
2006-12-23,53.6,0.000,,,
2006-12-24,55.3,0.000,,,
2006-12-25,59.8,0.000,,,
2006-12-26,59.5,0.843,,,
2006-12-27,56.0,0.638,,,
2006-12-28,56.7,0.000,,,
2006-12-29,55.3,0.000,,,
2006-12-30,53.0,0.000,,,
2006-12-31,52.8,0.000,,,
2007-01-01,58.1,0.000,,,
2007-01-02,58.6,0.000,,,
2007-01-03,57.8,0.000,,,
2007-01-04,56.2,0.181,,,
2007-01-05,53.6,0.000,,,
2007-01-06,56.0,0.000,,,
2007-01-07,58.5,0.000,,,
2007-01-08,61.1,0.000,,,
2007-01-09,60.7,0.000,,,
2007-01-10,59.9,0.000,,,
2007-01-11,49.3,0.000,,,
2007-01-12,48.0,0.000,,,
2007-01-13,47.6,0.000,,,
2007-01-14,48.3,0.000,,,
2007-01-15,50.3,0.000,,,
2007-01-16,50.0,0.000,,,
2007-01-17,53.7,0.031,,,
2007-01-18,56.6,0.000,,,
2007-01-19,56.1,0.000,,,
2007-01-20,57.1,0.000,,,
2007-01-21,61.4,0.000,,,
2007-01-22,60.3,0.000,,,
2007-01-23,58.4,0.000,,,
2007-01-24,59.8,0.000,,,
2007-01-25,58.9,0.000,,,
2007-01-26,52.9,0.071,,,
2007-01-27,56.5,0.087,,,
2007-01-28,57.3,0.028,,,
2007-01-29,61.6,0.000,,,
2007-01-30,60.9,0.000,,,
2007-01-31,53.3,0.000,,,
2007-02-01,51.7,0.000,,,
2007-02-02,53.6,0.000,,,
2007-02-03,58.7,0.000,,,
2007-02-04,64.3,0.000,,,
2007-02-05,64.2,0.000,,,
2007-02-06,58.3,0.000,,,
2007-02-07,57.4,0.118,,,
2007-02-08,58.0,0.291,,,
2007-02-09,56.8,1.063,,,
2007-02-10,58.5,0.866,,,
2007-02-11,56.9,0.524,,,
2007-02-12,55.5,0.142,,,
2007-02-13,55.1,0.079,,,
2007-02-14,58.6,0.000,,,
2007-02-15,63.7,0.008,,,
2007-02-16,65.3,0.000,,,
2007-02-17,67.9,0.000,,,
2007-02-18,66.1,0.000,,,
2007-02-19,59.5,0.000,,,
2007-02-20,57.7,0.000,,,
2007-02-21,56.9,0.047,,,
2007-02-22,55.0,0.543,,,
2007-02-23,52.6,0.098,,,
2007-02-24,54.1,0.024,,,
2007-02-25,54.2,0.335,,,
2007-02-26,53.1,0.449,,,
2007-02-27,50.8,0.248,,,
2007-02-28,50.8,0.150,,,
2007-03-01,52.2,0.008,,,
2007-03-02,58.0,0.000,,,
2007-03-03,63.5,0.000,,,
2007-03-04,66.7,0.000,,,
2007-03-05,65.2,0.000,,,
2007-03-06,62.2,0.000,,,
2007-03-07,59.9,0.000,,,
2007-03-08,56.8,0.000,,,
2007-03-09,56.4,0.000,,,
2007-03-10,63.2,0.000,,,
2007-03-11,70.4,0.000,,,
2007-03-12,71.6,0.000,,,
2007-03-13,70.7,0.000,,,
2007-03-14,64.0,0.000,,,
2007-03-15,69.2,0.000,,,
2007-03-16,71.5,0.000,,,
2007-03-17,67.4,0.000,,,
2007-03-18,63.4,0.000,,,
2007-03-19,59.7,0.000,,,
2007-03-20,57.6,0.035,,,
2007-03-21,65.0,0.008,,,
2007-03-22,67.5,0.000,,,
2007-03-23,66.3,0.000,,,
2007-03-24,64.5,0.000,,,
2007-03-25,58.6,0.000,,,
2007-03-26,58.9,0.094,,,
2007-03-27,56.1,0.008,,,
2007-03-28,63.6,0.000,,,
2007-03-29,67.6,0.000,,,
2007-03-30,65.5,0.000,,,
2007-03-31,65.0,0.000,,,
2007-04-01,62.6,0.000,,,
2007-04-02,65.6,0.000,,,
2007-04-03,63.7,0.000,,,
2007-04-04,64.9,0.000,,,
2007-04-05,65.8,0.000,,,
2007-04-06,63.7,0.000,,,
2007-04-07,59.2,0.028,,,
2007-04-08,63.2,0.000,,,
2007-04-09,63.4,0.016,,,
2007-04-10,67.0,0.000,,,
2007-04-11,63.7,0.181,,,
2007-04-12,61.6,0.000,,,
2007-04-13,62.5,0.000,,,
2007-04-14,58.9,0.150,,,
2007-04-15,66.4,0.000,,,
2007-04-16,69.2,0.000,,,
2007-04-17,65.2,0.000,,,
2007-04-18,58.1,0.000,,,
2007-04-19,56.1,0.004,,,
2007-04-20,59.5,0.469,,,
2007-04-21,57.1,0.094,,,
2007-04-22,56.1,0.862,,,
2007-04-23,62.8,0.000,,,
